option,model,config,hardware,model_size_mb,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_fps,batch_throughput_fps
distilbert_pytorch_cpu,distilbert,pytorch_cpu,CPU,268.86,13.77,14.28,15.98,72.61,501.82
distilbert_onnx_no_opt,distilbert,onnx_no_opt,CPU,268.02,8.68,9.02,9.05,114.21,605.4
distilbert_onnx_optimized,distilbert,onnx_optimized,CPU,267.98,8.05,8.07,8.08,124.28,786.41
distilbert_dynamic_quant,distilbert,dynamic_quant,CPU,69.27,4.28,4.3,4.33,233.73,665.84
distilbert_static_quant_aggressive,distilbert,static_quant_aggressive,CPU,69.24,4.33,4.54,4.69,229.51,600.89
distilbert_static_quant_conservative,distilbert,static_quant_conservative,CPU,140.78,3.26,3.43,3.46,304.96,765.62
distilbert_onnx_cuda,distilbert,onnx_cuda,P100,268.02,7.69,7.75,7.81,130.0,779.72
distilbert_onnx_tensorrt,distilbert,onnx_tensorrt,P100,268.02,8.72,8.77,8.85,114.79,634.93
distilbert_onnx_openvino,distilbert,onnx_openvino,CPU (OpenVINO),268.02,7.69,7.87,8.07,129.49,817.75
